Designator Feeder               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

JP7        2                   1000mil       500mil       2500mil       1100mil       2500mil       1100mil  T        360.00 MCU PWR        
R109       1                   1000mil       1000mil       3852mil        253mil       3852mil        253mil  T        180.00 Res2           
R108       4                   1000mil    1500mil       3852mil     346.75mil       3852mil     346.75mil  T        180.00 Res2           
R107       3                   1000mil      2000mil       3852mil      440.5mil       3852mil      440.5mil  T        180.00 Res2           
R106       6                   1000mil     2500mil       3852mil     534.25mil       3852mil     534.25mil  T        180.00 Res2           
R105       5                   1000mil        3000mil       3852mil        628mil       3852mil        628mil  T        180.00 Res2           
R104       8                   1000mil     3500mil       3852mil     721.75mil       3852mil     721.75mil  T        180.00 Res2           
R103       7                   1000mil      4000mil       3852mil      815.5mil       3852mil      815.5mil  T        180.00 Res2           
R102       10                   1000mil     4500mil       3852mil     909.25mil       3852mil     909.25mil  T        180.00 Res2           
R101       9                  1000mil       5000mil       3852mil       1003mil       3852mil       1003mil  T        180.00 Res2           
J6         HDR1X9                4200mil       1350mil       4200mil        950mil       4200mil        950mil  T         90.00 Header 9       
JP6        JMP0.3                1700mil       2250mil       1700mil       2150mil       1700mil       2150mil  T         90.00 DECAY_SELECT   
J1         PWR_CONN2             1200mil       4900mil       1100mil       4900mil       1100mil       4900mil  T          0.00 Header 2       
U3         MSP430F1612           3300mil        700mil       3300mil        700mil   3079.528mil    847.638mil  T          0.00 MSP430F2917    
S1         Pana_PB               2100mil   1101.575mil       2100mil    1003.15mil       2100mil    1003.15mil  T         90.00 SW-PB          
R9         0805                  2655mil       1300mil       2610mil       1300mil       2610mil       1300mil  T        360.00 Res2           
R8         0805                  2100mil       1395mil       2100mil       1350mil       2100mil       1350mil  T         90.00 Res1           
J5         HDR2X7                3400mil       1225mil       3100mil       1175mil       3100mil       1175mil  T        360.00 JTAG           
J4         USB_CONN           492.716mil    837.008mil    506.693mil    886.221mil    585.433mil    787.795mil  T        270.00 USB B Conn     
D10        1206_LED          2410.039mil       1300mil       2475mil       1300mil       2475mil       1300mil  T        180.00 LED3           
C23        0805                  1080mil        525mil       1035mil        525mil       1035mil        525mil  T        360.00 Cap1           
C21        0805                  2900mil        405mil       2900mil        360mil       2900mil        360mil  T         90.00 Cap            
C19        0805                  1305mil       1125mil       1260mil       1125mil       1260mil       1125mil  T        360.00 Cap            
C17        0805                  3245mil       1525mil       3290mil       1525mil       3290mil       1525mil  T        180.00 Cap            
C16        RB_.1/.250            2850mil        875mil       2850mil        825mil       2850mil        925mil  T        270.00 Cap Pol1       
C15        0805                  2650mil        880mil       2650mil        835mil       2650mil        835mil  T         90.00 Cap            
C14        0805                   750mil        580mil        750mil        535mil        750mil        535mil  T         90.00 Cap            
J2         HDR1X4                3800mil       3150mil       3800mil       3300mil       3800mil       3300mil  T        270.00 Header 4       
R6         VR5                   1500mil       2275mil       1500mil       2275mil       1500mil       2175mil  T         90.00  VR5Description              
TP29       TEST_POINT_0.052        300mil       5100mil        300mil       5100mil        300mil       5100mil  T         90.00 GND            
TP28       TEST_POINT_0.052       3500mil       5100mil       3500mil       5100mil       3500mil       5100mil  T         90.00 GND            
TP27       TEST_POINT_0.052       3500mil       1900mil       3500mil       1900mil       3500mil       1900mil  T         90.00 GND            
TP26       TEST_POINT_0.052        300mil       1800mil        300mil       1800mil        300mil       1800mil  T          0.00 GND            
C2         0805                  1755mil       3100mil       1710mil       3100mil       1710mil       3100mil  T        360.00  C2Description              
J3         PWR_CONN4             4200mil       3150mil       4200mil       3450mil       4200mil       3450mil  T        270.00 Header 4       
PCB1       TI_LOGO              -1000mil       -100mil       2000mil       5300mil      -1000mil       -100mil  T          0.00 DRV8818        
JP2        JMP0.2                3000mil       4250mil       3000mil       4200mil       3000mil       4200mil  T         90.00 JUMPER 2 PIN   
JP3        JMP0.2                3000mil       3650mil       3000mil       3600mil       3000mil       3600mil  T         90.00 JUMPER 2 PIN   
JP4        JMP0.2                3000mil       1975mil       3000mil       1925mil       3000mil       1925mil  T         90.00 JUMPER 2 PIN   
JP5        JMP0.2                3000mil       2575mil       3000mil       2525mil       3000mil       2525mil  T         90.00 JUMPER 2 PIN   
D9         SMC-W                 2660mil       2525mil       2520mil       2525mil       2520mil       2525mil  T          0.00 MBRS360        
D8         SMC-W                 2660mil       1925mil       2520mil       1925mil       2520mil       1925mil  T          0.00 MBRS360        
D7         SMC-W                 2660mil       3600mil       2520mil       3600mil       2520mil       3600mil  T          0.00 MBRS360        
D6         SMC-W                 2660mil       4200mil       2520mil       4200mil       2520mil       4200mil  T          0.00 MBRS360        
D5         SMC-W                 2660mil       2800mil       2800mil       2800mil       2800mil       2800mil  T        180.00 MBRS360        
D4         SMC-W                 2660mil       2200mil       2800mil       2200mil       2800mil       2200mil  T        180.00 MBRS360        
D3         SMC-W                 2660mil       3875mil       2800mil       3875mil       2800mil       3875mil  T        180.00 MBRS360        
D2         SMC-W                 2660mil       4475mil       2800mil       4475mil       2800mil       4475mil  T        180.00 MBRS360        
C12        0805                  1300mil       2230mil       1300mil       2275mil       1300mil       2275mil  T        270.00 C12description               
C1         0805                  2240mil       2815mil       2240mil       2770mil       2240mil       2770mil  T         90.00 C1description               
